,Inferential statistics. Confidence intervals,,,,,,,,,,,,,
,Al Bundy's shoe shop,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,InvoiceNo,Date,Country,ProductID,Shop,Gender,Size (US),Size (Europe),Size (UK),UnitPrice,Discount,,Month,SalePrice
,52389,1/1/2014,United Kingdom,2152,UK2,Male,11,#REF!,#REF!," $159,00 ",0%,2014,1," $159,00 "
,52390,1/1/2014,United States,2230,US15,Male,"11,5",#REF!,#REF!," $199,00 ",20%,2014,1," $159,20 "
,52391,1/1/2014,Canada,2160,CAN7,Male,"9,5",#REF!,#REF!," $149,00 ",20%,2014,1," $119,20 "
,52392,1/1/2014,United States,2234,US6,Female,"9,5",#REF!,#REF!," $159,00 ",0%,2014,1," $159,00 "
,52393,1/1/2014,United Kingdom,2222,UK4,Female,9,#REF!,#REF!," $159,00 ",0%,2014,1," $159,00 "
,52394,1/1/2014,United States,2173,US15,Male,"10,5",#REF!,#REF!," $159,00 ",0%,2014,1," $159,00 "
,52395,2/1/2014,Germany,2200,GER2,Female,9,#REF!,#REF!," $179,00 ",0%,2014,1," $179,00 "
,52396,2/1/2014,Canada,2238,CAN5,Male,10,#REF!,#REF!," $169,00 ",0%,2014,1," $169,00 "
,52397,2/1/2014,United States,2191,US13,Male,"10,5",#REF!,#REF!," $139,00 ",0%,2014,1," $139,00 "
,52398,2/1/2014,United Kingdom,2237,UK1,Female,9,#REF!,#REF!," $149,00 ",0%,2014,1," $149,00 "
,52399,2/1/2014,United States,2197,US1,Male,10,#REF!,#REF!," $129,00 ",0%,2014,1," $129,00 "
,52399,2/1/2014,United States,2213,US11,Female,"9,5",#REF!,#REF!," $169,00 ",10%,2014,1," $152,10 "
,52399,2/1/2014,United States,2206,US2,Female,"9,5",#REF!,#REF!," $139,00 ",0%,2014,1," $139,00 "
,52400,2/1/2014,United States,2152,US15,Male,8,#REF!,#REF!," $139,00 ",0%,2014,1," $139,00 "
,52401,3/1/2014,Germany,2235,GER1,Male,"10,5",#REF!,#REF!," $169,00 ",50%,2014,1," $84,50 "
,52401,3/1/2014,Germany,2197,GER1,Female,"8,5",#REF!,#REF!," $179,00 ",20%,2014,1," $143,20 "
,52402,3/1/2014,Canada,2240,CAN6,Male,"9,5",#REF!,#REF!," $199,00 ",30%,2014,1," $139,30 "
,52403,3/1/2014,United States,2221,US7,Male,11,#REF!,#REF!," $149,00 ",50%,2014,1," $74,50 "
,52404,3/1/2014,United States,2234,US6,Female,"9,5",#REF!,#REF!," $159,00 ",0%,2014,1," $159,00 "
,52404,3/1/2014,United States,2197,US1,Male,10,#REF!,#REF!," $129,00 ",0%,2014,1," $129,00 "
,52404,3/1/2014,United States,2213,US11,Female,"9,5",#REF!,#REF!," $169,00 ",10%,2014,1," $152,10 "
,52405,3/1/2014,United States,2213,US7,Female,8,#REF!,#REF!," $139,00 ",0%,2014,1," $139,00 "
,52406,3/1/2014,United States,2147,US15,Male,"9,5",#REF!,#REF!," $139,00 ",0%,2014,1," $139,00 "
,52407,4/1/2014,United States,2224,US13,Male,9,#REF!,#REF!," $149,00 ",10%,2014,1," $134,10 "
,52408,4/1/2014,Germany,2206,GER2,Male,"8,5",#REF!,#REF!," $149,00 ",20%,2014,1," $119,20 "
,52409,4/1/2014,Germany,2157,GER2,Male,12,#REF!,#REF!," $149,00 ",20%,2014,1," $119,20 "
,52410,4/1/2014,Canada,2169,CAN3,Female,8,#REF!,#REF!," $129,00 ",0%,2014,1," $129,00 "
,52411,4/1/2014,United States,2191,US13,Male,"10,5",#REF!,#REF!," $139,00 ",0%,2014,1," $139,00 "
,52411,4/1/2014,United States,2234,US6,Female,"9,5",#REF!,#REF!," $159,00 ",0%,2014,1," $159,00 "
,52411,4/1/2014,United States,2197,US1,Male,10,#REF!,#REF!," $129,00 ",0%,2014,1," $129,00 "
,52412,4/1/2014,United States,2173,US15,Male,"10,5",#REF!,#REF!," $159,00 ",0%,2014,1," $159,00 "
,52413,5/1/2014,United Kingdom,2156,UK5,Female,8,#REF!,#REF!," $169,00 ",10%,2014,1," $152,10 "
,52414,5/1/2014,Germany,2235,GER1,Male,"9,5",#REF!,#REF!," $169,00 ",30%,2014,1," $118,30 "
,52414,5/1/2014,Germany,2239,GER2,Female,"8,5",#REF!,#REF!," $129,00 ",50%,2014,1," $64,50 "
,52415,5/1/2014,Canada,2169,CAN3,Female,8,#REF!,#REF!," $129,00 ",0%,2014,1," $129,00 "
